"","Year","Quarter","town","flat_type","median_rent"
"1","2005","Q2","ANG MO KIO","2-RM",NA
"2","2005","Q2","ANG MO KIO","3-RM",800
"3","2005","Q2","ANG MO KIO","4-RM",950
"4","2005","Q2","ANG MO KIO","5-RM",NA
"5","2005","Q2","ANG MO KIO","EXEC",NA
"6","2005","Q2","BEDOK","2-RM",NA
"7","2005","Q2","BEDOK","3-RM",800
"8","2005","Q2","BEDOK","4-RM",900
"9","2005","Q2","BEDOK","5-RM",1025
"10","2005","Q2","BEDOK","EXEC",NA
"11","2005","Q2","BISHAN","2-RM",NA
"12","2005","Q2","BISHAN","3-RM",NA
"13","2005","Q2","BISHAN","4-RM",1000
"14","2005","Q2","BISHAN","5-RM",1100
"15","2005","Q2","BISHAN","EXEC",NA
"16","2005","Q2","BUKIT BATOK","2-RM",NA
"17","2005","Q2","BUKIT BATOK","3-RM",745
"18","2005","Q2","BUKIT BATOK","4-RM",925
"19","2005","Q2","BUKIT BATOK","5-RM",NA
"20","2005","Q2","BUKIT BATOK","EXEC",NA
"21","2005","Q2","BUKIT MERAH","2-RM",NA
"22","2005","Q2","BUKIT MERAH","3-RM",850
"23","2005","Q2","BUKIT MERAH","4-RM",NA
"24","2005","Q2","BUKIT MERAH","5-RM",NA
"25","2005","Q2","BUKIT MERAH","EXEC",NA
"26","2005","Q2","BUKIT PANJANG","2-RM",NA
"27","2005","Q2","BUKIT PANJANG","3-RM",NA
"28","2005","Q2","BUKIT PANJANG","4-RM",NA
"29","2005","Q2","BUKIT PANJANG","5-RM",NA
"30","2005","Q2","BUKIT PANJANG","EXEC",NA
"31","2005","Q2","BUKIT TIMAH","2-RM",NA
"32","2005","Q2","BUKIT TIMAH","3-RM",NA
"33","2005","Q2","BUKIT TIMAH","4-RM",NA
"34","2005","Q2","BUKIT TIMAH","5-RM",NA
"35","2005","Q2","BUKIT TIMAH","EXEC",NA
"36","2005","Q2","CENTRAL","2-RM",NA
"37","2005","Q2","CENTRAL","3-RM",NA
"38","2005","Q2","CENTRAL","4-RM",NA
"39","2005","Q2","CENTRAL","5-RM",NA
"40","2005","Q2","CENTRAL","EXEC",NA
"41","2005","Q2","CHOA CHU KANG","2-RM",NA
"42","2005","Q2","CHOA CHU KANG","3-RM",NA
"43","2005","Q2","CHOA CHU KANG","4-RM",900
"44","2005","Q2","CHOA CHU KANG","5-RM",950
"45","2005","Q2","CHOA CHU KANG","EXEC",NA
"46","2005","Q2","CLEMENTI","2-RM",NA
"47","2005","Q2","CLEMENTI","3-RM",838
"48","2005","Q2","CLEMENTI","4-RM",1000
"49","2005","Q2","CLEMENTI","5-RM",NA
"50","2005","Q2","CLEMENTI","EXEC",NA
"51","2005","Q2","GEYLANG","2-RM",NA
"52","2005","Q2","GEYLANG","3-RM",800
"53","2005","Q2","GEYLANG","4-RM",950
"54","2005","Q2","GEYLANG","5-RM",NA
"55","2005","Q2","GEYLANG","EXEC",NA
"56","2005","Q2","HOUGANG","2-RM",NA
"57","2005","Q2","HOUGANG","3-RM",NA
"58","2005","Q2","HOUGANG","4-RM",850
"59","2005","Q2","HOUGANG","5-RM",NA
"60","2005","Q2","HOUGANG","EXEC",NA
"61","2005","Q2","JURONG EAST","2-RM",NA
"62","2005","Q2","JURONG EAST","3-RM",775
"63","2005","Q2","JURONG EAST","4-RM",1000
"64","2005","Q2","JURONG EAST","5-RM",NA
"65","2005","Q2","JURONG EAST","EXEC",NA
"66","2005","Q2","JURONG WEST","2-RM",NA
"67","2005","Q2","JURONG WEST","3-RM",750
"68","2005","Q2","JURONG WEST","4-RM",950
"69","2005","Q2","JURONG WEST","5-RM",1000
"70","2005","Q2","JURONG WEST","EXEC",NA
"71","2005","Q2","KALLANG/WHAMPOA","2-RM",NA
"72","2005","Q2","KALLANG/WHAMPOA","3-RM",800
"73","2005","Q2","KALLANG/WHAMPOA","4-RM",1000
"74","2005","Q2","KALLANG/WHAMPOA","5-RM",NA
"75","2005","Q2","KALLANG/WHAMPOA","EXEC",NA
"76","2005","Q2","LIM CHU KANG","2-RM",NA
