,Property.Name.,Property.Type.,Built.Year.,Model.,Address.,District.,Bedrooms.,Bedrooms.Additional,Area.Land,Area.Builtup,Floor.Description,Floor.,Asking.,PSF_land.,PSF.,PostalCode,Developer.,Bathrooms.,Tenure.,No..of.Units.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,lon,lat,is_HDB
1,Laverne's Loft,Apartment,2013,Penthouse,66 Lorong L Telok Kurau (425509), D15 - East Coast / Marine Parade ,2,NA,NA,1249,NA,5,1300000,NA,1041,425509,Asimont Holdings Pte Ltd,2,FREEHOLD,44,"Renovated, City View, Jacuzzi, Air Conditioning, Cooker Hob/hood, Water Heater, Balcony","MARINE TERRACE MRT DUE 2023 9 mins  TE27 780m, MARINE PARADE MRT DUE 2023 11 mins  TE26 940m, KEMBANGAN MRT 14 mins  EW6 1.12 km","Tandeville 1 min  15155150 100m, Opp Tandeville 1 min  150155155A15 130m, Bef Lor K Telok Kurau 1 min  15150155 150m","Chij (katong) Primary 530m, Tao Nan 680m, Ngee Ann Primary 1.05 km","St. Patrick's 900m, Tanjong Katong Secondary 1.48 km, Tanjong Katong Girls' 1.64 km","112 KATONG 900m, KATONG V 1.17 km, Parkway Parade 1.27 km",NA,NA,NA,103.9102188,1.3112504,No
2,V on Shenton,Apartment,2017,Apartment,5 Shenton Way (068808), D1 - Boat Quay / Raffles Place / Marina ,3,NA,NA,1755,NA,40,3888000,NA,2215,68808,Uic Investments (Properties) Pte Ltd,NA,LEASEHOLD/99 years,510,"Spa Pool, Outback Grill, Splash Zone, Playscape, Spice Botanics, Sun Deck, Epicurean Dining, Club Lounge, Day Bed Island, Aqua Gym, Garden Lounge, Refreshment Bar, Cloves Hedge, Bubbly Bay, Cinnamon Scent, Junior Pool, Outdoor Fitness, Surf Lounge, Indoor Gymnasium, City View, Air Conditioning, Cooker Hob/hood, Bathtub, Balcony","SHENTON WAY MRT DUE 2021 1 min  TE19 100m, TANJONG PAGAR MRT 4 mins  EW15 360m, DOWNTOWN MRT 5 mins  DT17 440m","UIC Bldg 1 min  571010e75701671621001061071281301311339797e970971E982E186196196e400402502513700850E951E 70m, Aft Capital Twr 1 min  868951E982E850E196196e513701010e759797e162128130133100106107 150m, Opp GB Bldg 3 mins  131186167400402700970971E57 240m",Cantonment Primary 1.07 km,Outram Secondary 1.69 km,"MARINA ONE WEST TOWER 330m, MARINA ONE EAST TOWER 380m, TANJONG PAGAR CENTRE 480m",NA,NA,NA,103.8494332,1.2775804,No
3,Marina One Residences,Apartment,NA,Apartment,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,2,NA,NA,1119,NA,28,2793950,NA,2497,18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,NA,LEASEHOLD/99 years,1042,"Renovated, Park/greenery View, Original Condition, Intercom, Cooker Hob/hood, Water Heater, Air Conditioning, Balcony, Walk-in-wardrobe","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",NA,NA,NA,103.8533256,1.2766721,No
4,Queens Peak,Condominium,2020,Condominium,1 Dundee Road (149456), D3 - Alexandra / Commonwealth ,2,NA,NA,775,NA,22,1368000,NA,1765,149456,Hy Realty (Dundee) Pte Ltd,2,LEASEHOLD/99 years,736,"Original Condition, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Balcony, Walk-in-wardrobe","QUEENSTOWN MRT 1 min  EW19 90m, REDHILL MRT 15 mins  EW18 1.24 km, COMMONWEALTH MRT 16 mins  EW20 1.28 km","Queenstown Stn 1 min  51111145970186195 90m, Queenstown Stn 1 min  195970NR551145111186 100m, Blk 53A CP 2 mins  14511118697051 200m","Queenstown Primary 180m, New Town Primary 910m, Gan Eng Seng Primary 1.42 km","Queenstown Secondary 730m, Queensway Secondary 780m, Crescent Girls' 1.21 km","DAWSON PLACE 530m, Anchorpoint 720m, ANCHORPOINT SHOPPING CENTRE 720m",Partially Furnished,NA,NA,103.8070953,1.2950313,No
5,Gem Residences,Condominium,2020,Condominium,1 Lorong 5 Toa Payoh (319458), D12 - Balestier / Toa Payoh ,3,NA,NA,947,NA,9,1642000,NA,1734,319458,Gem Homes Pte Ltd,1,LEASEHOLD/99 years,578,"City View, Original Condition, Air Conditioning, Intercom, Cooker Hob/hood, Water Heater, Balcony, Walk-in-wardrobe","BRADDELL MRT 6 mins  NS18 530m, TOA PAYOH MRT 10 mins  NS19 800m, CALDECOTT MRT 15 mins  CC17TE9 1.26 km","Blk 52 2 mins  232 210m, Toa Payoh Police Ctr 2 mins  59231232129 210m, Blk 56 2 mins  23128735688105155157159163153 220m","Kheng Cheng 440m, First Toa Payoh Primary 550m, Pei Chun Public 560m","Beatty Secondary 360m, Guangyang Secondary 660m, Raffles Institution 950m","Hdb Hub 790m, Junction 8 1.33 km, JUNCTION 8 SHOPPING CENTRE 1.34 km",Partially Furnished,"Raffles Institution 950m, St. Joseph's Institution 1.49 km, Catholic High School 1.9 km",NA,103.8531666,1.3336887,No
6,Duo Residences,Apartment,2017,Apartment,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,3,NA,NA,1528,NA,40,4215100,NA,2759,189350,Ophir-Rochor Residential Pte. Ltd.,3,LEASEHOLD/99 years,660,"50M Lap Pool With Spa Seats, Jacuzzi, Aqua Gym Equipment, Reflective Pool, Sun Deck, Teppanyaki Terraces, Patio Gym, Kid's Play Area, Sky Pool, Children's Pool, Function Room, Gymnasium, Outdoor Living Room, Original Condition, Park/greenery View, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Balcony, Walk-in-wardrobe","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723,No
7,Queens Peak,Condominium,NA,Condominium,1 Dundee Road (149456), D3 - Alexandra / Commonwealth ,3,NA,NA,947,NA,24,1423000,NA,1503,149456,Hy Realty (Dundee) Pte Ltd,2,LEASEHOLD/99 years,736,"Corner Unit, Renovated, City View, Air Conditioning, Cooker Hob/hood, Private Lift, Balcony","QUEENSTOWN MRT 1 min  EW19 90m, REDHILL MRT 15 mins  EW18 1.24 km, COMMONWEALTH MRT 16 mins  EW20 1.28 km","Queenstown Stn 1 min  51111145970186195 90m, Queenstown Stn 1 min  195970NR551145111186 100m, Blk 53A CP 2 mins  14511118697051 200m","Queenstown Primary 180m, New Town Primary 910m, Gan Eng Seng Primary 1.42 km","Queenstown Secondary 730m, Queensway Secondary 780m, Crescent Girls' 1.21 km","DAWSON PLACE 530m, Anchorpoint 720m, ANCHORPOINT SHOPPING CENTRE 720m",NA,NA,NA,103.8070953,1.2950313,No
8,Gem Residences,Condominium,NA,Condominium,3 Lorong 5 Toa Payoh (319459), D12 - Balestier / Toa Payoh ,3,NA,NA,947,NA,26,1640000,NA,1732,319459,Gem Homes Pte Ltd,2,LEASEHOLD/99 years,578,"Park/greenery View, Renovated, City View, Air Conditioning, Water Heater, Intercom, Cooker Hob/hood, Balcony","BRADDELL MRT 7 mins  NS18 570m, TOA PAYOH MRT 11 mins  NS19 880m, CALDECOTT MRT 16 mins  CC17TE9 1.33 km","Blk 52 2 mins  232 160m, Blk 237 2 mins  NR1129155155A157159163105153885657592873 170m, Blk 1 2 mins  735657592888155157159163129153105 190m","First Toa Payoh Primary 480m, Kheng Cheng 520m, Pei Chun Public 520m","Beatty Secondary 290m, Guangyang Secondary 610m, Raffles Institution 940m","Hdb Hub 860m, Junction 8 1.28 km, JUNCTION 8 SHOPPING CENTRE 1.3 km",NA,"Raffles Institution 940m, St. Joseph's Institution 1.42 km, Catholic High School 1.86 km",NA,103.8486493,1.3377967,No
9,Marina One Residences,Apartment,2017,Apartment,21 Marina Way (018978), D1 - Boat Quay / Raffles Place / Marina ,3,NA,NA,1518,NA,21,3577000,NA,2356,18978,Ms Residential1 Pte Ltd/Ms Residential 2 Pte Ltd/Ms Commercial Pte Ltd,3,LEASEHOLD/99 years,1042,"Corner Unit, Park/greenery View, Sea View, City View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Private Lift, Bathtub, Balcony, Walk-in-wardrobe, Maidsroom","MARINA BAY MRT 1 min  CE2NS27TE20 140m, DOWNTOWN MRT 3 mins  DT17 310m, SHENTON WAY MRT DUE 2021 4 mins  TE19 380m",NA,Cantonment Primary 1.49 km,NA,"MARINA ONE WEST TOWER 130m, MARINA ONE EAST TOWER 140m, MARINA BAY FINANCIAL CENTRE (TOWER 3) 300m",Partially Furnished,NA,NA,103.8533256,1.2766721,No
10,Duo Residences,Apartment,2017,Apartment,1 Fraser Street (189350), D7 - Beach Road / Bugis / Rochor ,4,NA,NA,1927,NA,48,4040000,NA,2097,189350,Ophir-Rochor Residential Pte. Ltd.,4,LEASEHOLD/99 years,660,"Aqua Gym Equipment, Reflective Pool, Outdoor Living Room, Jacuzzi, Function Room, Children's Pool, Patio Gym, Gymnasium, Sun Deck, 50M Lap Pool With Spa Seats, Sky Pool, Teppanyaki Terraces, Kid's Play Area, Corner Unit, City View, Colonial Building, Swimming Pool View, Sea View, Park/greenery View, Air Conditioning, Cooker Hob/hood, Bathtub, Water Heater, Intercom, Balcony, Maidsroom","BUGIS MRT 2 mins  DT14EW12 160m, NICOLL HIGHWAY MRT 7 mins  CC5 580m, JALAN BESAR MRT 8 mins  DT22 650m","Parkview Sq 1 min  14517551803263761197851 30m, Aft Beach Rd 1 min  4857 140m, Bugis Stn 1 min  13013321233960 150m","Stamford Primary 420m, St. Margaret's Primary 1.28 km, Farrer Park Primary 1.55 km","School Of The Arts, Singapore 960m","DUO TOWER AND DUO GALLERIA, MIXED-USE DEVELOPMENT AT OPHIR-ROCHOR, SINGAPORE (COMMERCIAL) (GREEN MARK BUILDINGS) 130m, BUGIS POINT 190m, BUGIS VILLAGE 240m",Partially Furnished,"School Of The Arts, Singapore 960m",NA,103.858441,1.2994723,No
