"","Address.","Bathrooms.","Bedrooms.","Built.Year.","Developer.","District.","last_updated","Property.Name.","nearest_mrt_name","neighbourhood","PSF.","Property.Type.","Asking.","Area.","Area.Builtup","Area.Land","Tenure.","title","total_units","travel_time_changi","travel_time_orchard","travel_time_raffles","unit_types","no._of_bedrooms","Furnish.","Floor.","overlooking_view","facing"
"1","16 Enggor Street","1","1","2014","Bishan Properties Pte Ltd","Chinatown / Tanjong Pagar (D2)","3 days ago","Altez","Tanjong Pagar MRT",NA,7.97,"Condo Whole Unit",4800,"602 sqft",602,NA,"99 Years","1 Bed Condo for Rent in Altez","280",58,22,10,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"2","21 Choa Chu Kang North 6","2","3",NA,NA,"Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","11 days ago","Yewtee Point",NA,"Choa Chu Kang",3.8,"Apartment Whole Unit",4500,"1,184 sqft",1184,NA,NA,"3 Bed Condo for Rent in Yewtee Point",NA,NA,NA,NA,"3 BR",NA,NA,NA,NA,NA
"3","2 Marina Boulevard","2","2","2008","City Developments Ltd,AIG Global Real Estate","Boat Quay / Raffles Place / Marina (D1)","16 days ago","The Sail @ Marina Bay","Downtown MRT",NA,8.33,"Apartment Whole Unit",7800,"936 sqft",936,NA,"99 Years","2 Bed Condo for Rent in The Sail @ Marina Bay","1111",50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,NA
"4",NA,"5","4",NA,NA,"Newton / Novena (D11)","6 hrs ago",NA,NA,NA,2.44,"Bungalow",17999,"3,500 sqft (built-up) / 7,390 sqft (land)",3500,7390,NA,"4 Bed House for Rent in Kheam Hock Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2","3","1977",NA,"Chinatown / Tanjong Pagar (D2)","3 days ago","2 Tanjong Pagar Plaza","Tanjong Pagar MRT",NA,6.63,"HDB 3 Rooms",5000,"754 sqft",754,NA,NA,"HDB Flat for Rent in 2 Tanjong Pagar Plaza","201",59,23,11,NA,"3",NA,NA,NA,NA
"6",NA,"2","3","1986","HDB","Boon Lay / Jurong / Tuas (D22)","9 days ago","HDB-Jurong East","Jurong East MRT","Jurong East",3.46,"HDB 4 Rooms",3800,"1,097 sqft",1097,NA,"99 Years","HDB Flat for Rent in 285B Toh Guan Road",NA,81,35,39,"Studio, 1, 2, 3, 4, 5, 6 BR","3",NA,NA,NA,NA
"7",NA,"1","1","1978",NA,"Bedok / Upper East Coast (D16)","2 days ago","131 Bedok North Avenue 3","Bedok MRT","Bedok",8,"HDB 4 Rooms",1200,"150 sqft",150,NA,NA,"HDB Flat for Rent in 131 Bedok North Avenue 3","151",33,43,35,NA,"1","Fully",NA,NA,NA
"8","12 Amber Road","2","3","2022","Aurum Land (Private) Limited","East Coast / Marine Parade (D15)","4 days ago","Nyon","Tanjong Katong MRT","Marine Parade",6.67,"Condo Whole Unit",6100,"915 sqft",915,NA,"Freehold","3 Bed Condo for Rent in Nyon","92",37,33,30,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"9","900 Sims Avenue","2","2","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","14 days ago","Parc Esta","Eunos MRT","Geylang",7.4,"Condo Whole Unit",5500,"743 sqft",743,NA,"99 Years","2 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"10","10 Woodleigh Lane","2","2","2021","CEL Unique Development Pte. Ltd. (Chip Eng Seng Corp/ Heeton Holdings/ KSH Holdings)","Macpherson / Potong Pasir (D13)","22 days ago","Park Colonial","Woodleigh MRT","Toa Payoh",7.95,"Condo Whole Unit",5300,"667 sqft",667,NA,"99 Years","2 Bed Condo for Rent in Park Colonial","805",57,24,24,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"11",NA,"2","3","1986","HDB","Boon Lay / Jurong / Tuas (D22)","10 hrs ago","HDB-Jurong East","Jurong East MRT","Jurong East",2.9,"HDB Executive",4500,"1,550 sqft",1550,NA,"99 Years","HDB Flat for Rent in 286A Toh Guan Road",NA,NA,NA,NA,"Studio, 1, 2, 3, 4, 5, 6 BR","3","Partial","High",NA,NA
"12","16 Keppel Bay Drive","3","3","2004",NA,"Harbourfront / Telok Blangah (D4)","6 days ago","Caribbean At Keppel Bay","HarbourFront MRT","Bukit Merah",6.64,"Condo Whole Unit",9000,"1,356 sqft",1356,NA,"99 Years","3 Bed Condo for Rent in Caribbean At Keppel Bay","969",69,31,24,"2, 3, 4, 5, 8 BR",NA,NA,NA,NA,NA
"13",NA,"2","3","1986",NA,"Sembawang / Yishun (D27)","7 days ago","275 Yishun Street 22",NA,"Yishun",3.13,"HDB 4 Rooms",3500,"1,119 sqft",1119,NA,NA,"HDB Flat for Rent in 275 Yishun Street 22","114",59,42,47,NA,"3","Fully","High",NA,NA
"14","2 Indus Road","2","3","1993","Bukit Merah Gardens Pte Ltd (Far East Organization)","Alexandra / Commonwealth (D3)","6 days ago","Emerald Park","Tiong Bahru MRT","Bukit Merah",5.54,"Condo Whole Unit",6500,"1,174 sqft",1174,NA,"99 Years","3 Bed Condo for Rent in Emerald Park","280",64,19,17,"1, 2, 3 BR",NA,NA,NA,NA,NA
"15",NA,"1","1","1995","HDB","Pasir Ris / Tampines (D18)","2 days ago","HDB-Pasir Ris","Pasir Ris MRT","Pasir Ris",6.04,"HDB 4 Rooms",900,"149 sqft",149,NA,"99 Years","HDB Flat for Rent in 110 Pasir Ris Street 11",NA,NA,NA,NA,"Studio, 1, 2, 3, 4, 5, 6 BR","1","Fully","Mid",NA,NA
"16",NA,"4","6",NA,NA,"Seletar / Yio Chu Kang (D28)","13 days ago",NA,NA,NA,3.64,"Semi-Detached House",20000,"5,500 sqft (built-up)",5500,NA,NA,"6 Bed House for Rent in Seletar Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","61 Cairnhill Circle","2","2","2015",NA,"Orchard / River Valley (D9)","1 month ago","The Peak @ Cairnhill II","Newton MRT","Newton",7.74,"Condo Whole Unit",7000,"904 sqft",904,NA,"Freehold","2 Bed Condo for Rent in The Peak @ Cairnhill II","62",58,14,20,"1, 2, 3 BR",NA,NA,NA,NA,NA
"18",NA,"1","2","1968","HDB","Alexandra / Commonwealth (D3)","10 days ago","HDB-Queenstown","Queenstown MRT","Queenstown",4.65,"HDB",3000,"645 sqft",645,NA,"99 Years","HDB Flat for Rent in 168 Stirling Road",NA,70,28,22,"Studio, 1, 2, 3, 4, 5, 6 BR","2",NA,NA,NA,NA
"19","38 Amber Road","2","2","2008","Ho Brothers Investment Pte Ltd","East Coast / Marine Parade (D15)","4 days ago","38 Amber",NA,"Marine Parade",5.04,"Condo Whole Unit",4500,"893 sqft",893,NA,"Freehold","2 Bed Condo for Rent in 38 Amber","29",34,33,29,"2, 3 BR",NA,"Partial","High",NA,NA
"20","65 Lloyd Road","2","2","2017","Tg (2010) Pte Ltd","Orchard / River Valley (D9)","1 day ago","Lloyd Sixtyfive","Somerset MRT","River Valley",5.42,"Condo Whole Unit",9800,"1,808 sqft",1808,NA,"Freehold","2 Bed Condo for Rent in Lloyd Sixtyfive","76",56,12,14,"1, 2, 3, 4, 5 BR",NA,"Partial","Mid",NA,NA
"21","28 Simei Street 1","2","2","1996","Melville Park Development Pte Ltd (First Capital Corporation)","Pasir Ris / Tampines (D18)","10 days ago","Melville Park","Simei MRT","Tampines",4,"Condo Whole Unit",4000,"1,001 sqft",1001,NA,"99 Years","2 Bed Condo for Rent in Melville Park","1232",35,49,41,"2, 3, 4 BR",NA,"Fully",NA,NA,NA
"22","39 Chancery Lane","4","5","1986",NA,"Newton / Novena (D11)","18 days ago","Villa Chancery","Novena MRT","Novena",4.57,"Condo Whole Unit",12800,"2,800 sqft",2800,NA,"Freehold","5 Bed Condo for Rent in Villa Chancery","26",64,20,27,"3, 5 BR",NA,NA,NA,NA,NA
"23","904 Sims Avenue","2","3","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","16 days ago","Parc Esta","Eunos MRT","Geylang",7.02,"Condo Whole Unit",6500,"926 sqft",926,NA,"99 Years","3 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"24","7 Kim Tian Road","1","1","2018","Harvestland Developement Pte Ltd (Keppel Land)","Alexandra / Commonwealth (D3)","5 days ago","Highline Residences","Tiong Bahru MRT","Bukit Merah",8.89,"Condo Whole Unit",4500,"506 sqft",506,NA,"99 Years","1 Bed Condo for Rent in Highline Residences","500",63,24,15,"Studio, 1, 2, 3, 4 BR",NA,"Fully",NA,NA,NA
"25","90 Punggol Central","2","2","2016","Wee Hur Holdings","Hougang / Punggol / Sengkang (D19)","7 days ago","Parc Centros","Punggol MRT","Punggol",5.21,"Condo Whole Unit",3980,"764 sqft",764,NA,"99 Years","2 Bed Condo for Rent in Parc Centros","618",44,37,37,"1, 2, 3, 4, 6 BR",NA,"Partial",NA,"Pool view",NA
"26","138 Hillview Avenue","3","3","2003","Jys Development Pte Ltd","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","9 days ago","Hillview Residence",NA,"Bukit Batok",3.69,"Condo Whole Unit",4800,"1,300 sqft",1300,NA,"999 Years","3 Bed Condo for Rent in Hillview Residence","98",83,43,48,"3 BR",NA,"Fully",NA,NA,NA
"27","900 Sims Avenue","3","4","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","16 days ago","Parc Esta","Eunos MRT","Geylang",7.74,"Condo Whole Unit",9500,"1,227 sqft",1227,NA,"99 Years","4 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"28","Treasure Island","4","7","2010","Ho Bee (Sentosa) Pte Ltd","Harbourfront / Telok Blangah (D4)","14 days ago","Sentosa Cove",NA,NA,3.91,"Bungalow",45000,"11,500 sqft (built-up)",11500,NA,"103 Years","7 Bed House for Rent in Sentosa Cove",NA,NA,NA,NA,"2, 3, 4, 5, 6, 7, 8, 10 BR",NA,NA,NA,NA,NA
"29","17 Lorong Kilat","2","4","1999",NA,"Clementi Park / Upper Bukit Timah (D21)","1 month ago","Kilat Court","Beauty World MRT","Bukit Timah",3.27,"Condo Whole Unit",5888,"1,800 sqft",1800,NA,"Freehold","4 Bed Condo for Rent in Kilat Court","18",65,25,31,"4 BR",NA,"Partial","Low","City view",NA
"30","9 Kim Tian Road","1","1","2018","Harvestland Developement Pte Ltd (Keppel Land)","Alexandra / Commonwealth (D3)","1 month ago","Highline Residences","Tiong Bahru MRT","Bukit Merah",8.89,"Condo Whole Unit",4500,"506 sqft",506,NA,"99 Years","1 Bed Condo for Rent in Highline Residences","500",63,24,15,"Studio, 1, 2, 3, 4 BR",NA,"Fully","Low",NA,NA
"31","101 West Coast Vale","1","1","2020","EL Development","Buona Vista / West Coast / Clementi (D5)","3 days ago","Parc Riviera",NA,"Clementi",6.91,"Condo Whole Unit",3200,"463 sqft",463,NA,"99 Years","1 Bed Condo for Rent in Parc Riviera","752",84,41,36,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"32","Lorong Marzuki","5","5",NA,NA,"Eunos / Geylang / Paya Lebar (D14)","10 days ago","Kembangan Estate","Kembangan MRT","Bedok",5.93,"Semi-Detached House",14800,"5,069 sqft (built-up) / 2,496 sqft (land)",5069,2496,"Freehold","5 Bed House for Rent in Kembangan Estate",NA,39,35,27,"Studio, 2, 3, 4, 5, 6, 7, 8, 10 BR",NA,NA,NA,NA,NA
"33","222 Jalan Eunos","1","1","2016","Transurban Properties Pte Ltd And Oph Marymount Ltd","Eunos / Geylang / Paya Lebar (D14)","11 days ago","Euhabitat","Kembangan MRT","Bedok",6.02,"Condo Whole Unit",3500,"581 sqft",581,NA,"99 Years","1 Bed Condo for Rent in Euhabitat","748",49,32,29,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"34",NA,"2","3","1987",NA,"Sembawang / Yishun (D27)","17 days ago","662 Yishun Avenue 4","Khatib MRT","Yishun",3.87,"HDB",3500,"904 sqft",904,NA,NA,"HDB Flat for Rent in 662 Yishun Avenue 4","134",59,44,49,NA,"3",NA,NA,NA,NA
"35","21 Pasir Ris Grove","3","3","2019",NA,"Pasir Ris / Tampines (D18)","7 days ago","Coco Palms","Pasir Ris MRT","Pasir Ris",5.86,"Condo Whole Unit",5300,"904 sqft",904,NA,"99 Years","3 Bed Condo for Rent in Coco Palms","944",29,45,37,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,NA,NA,NA,NA
"36","136 Hillview Avenue","3","3","1999","Ccl Properties (Hillview) Pte Ltd","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","7 days ago","Merawoods","Bukit Gombak MRT","Bukit Batok",4.09,"Condo Whole Unit",5500,"1,346 sqft",1346,NA,"999 Years","3 Bed Condo for Rent in Merawoods","305",NA,NA,NA,"2, 3, 4 BR",NA,NA,NA,NA,NA
"37","128 Meyer Road","5","4","2022","Secure Venture Development (No. 1) Pte. Ltd. (UOL Group/ Kheng Leong Company)","East Coast / Marine Parade (D15)","17 days ago","MeyerHouse",NA,"Marine Parade",9.68,"Condo Whole Unit",29800,"3,078 sqft",3078,NA,"Freehold","4 Bed Condo for Rent in MeyerHouse","56",41,35,28,"Studio, 3, 4, 5, 6 BR",NA,NA,NA,NA,NA
"38","581A Upper Changi Road","3","4",NA,NA,"Bedok / Upper East Coast (D16)","2 hrs ago","Apollo Gardens","Expo MRT","Tampines",3.26,"Walk-up Whole Unit",6000,"1,840 sqft",1840,NA,NA,"4 Bed Condo for Rent in Apollo Gardens",NA,26,47,39,"1, 3, 4, 5 BR",NA,"Fully","High","Greenery view",NA
